Title,Caption,Sentiment,Emotion,Desire,Inference Sequence
Beautiful woman,Beautiful woman,positive,happiness,none,S-E-D
Commercial airline passenger sleeps in window seat,Young woman sits in the window seat of a commercial airliner and leans back with her eyes closed.,neutral,neutral,none,S-E-D
The female punisher,A woman not to mess around with ... Wearing a dark coat and hat and holding a chain - ready for punishment.,negative,anger,vengeance,D-S-E
Elderly Man Fishing,Man fishing on the ocean from the back of his boat at sunset,neutral,neutral,none,S-E-D
Bride and bridegroom in backseat of car,Bride and bridegroom in backseat of car,positive,happiness,romance,D-E-S
African American woman looking up,African American woman looking up,positive,happiness,none,S-E-D
Happy African American boy having fun with his father at home.,Happy black boy having fun while playing with his father at home. Woman is in the background.,positive,happiness,family,D-S-E
Elegant middle aged woman with her arms crossed against white,Elegant middle aged woman with her arms crossed against white,positive,happiness,none,S-E-D
Enjoying some time out in the city,Young couple with a cell phone outdoors in the city,positive,happiness,romance,D-E-S
Little boys observing bugs,Kids with magnifying glasses exploring the nature.,positive,happiness,curiosity,D-S-E
"Boy and girl swimming underwater, Exmouth, Western Australia, Australia","Boy and girl swimming underwater, Exmouth, Western Australia, Australia",positive,happiness,curiosity,E-S-D
Young woman in a river splashing water,Young woman in a river splashing water,positive,happiness,none,S-E-D
Portrait of happy couple in garden of their home,Portrait of happy couple in garden of their home,positive,happiness,romance,D-S-E
Scared Caucasian woman looking at gorilla,Scared Caucasian woman looking at gorilla,negative,fear,curiosity,D-S-E
Scared Mid Adult Man Standing Against Gray Background,Scared Mid Adult Man Standing Against Gray Background,negative,fear,none,S-D-E
Happy couple using digital tablet at home,Happy couple using digital tablet while sitting on sofa at home,positive,happiness,romance,D-S-E
Male hiker in snowy forest smiles at camera,He laughs and is covered in snow,positive,happiness,none,S-E-D
Ve had enough!,Shot of a frazzled young businesswoman having an outburst in the office,negative,anger,none,D-S-E
Studio portrait of a 4 year old blonde girl on a blue background,Studio portrait of a 4 year old blonde girl on a blue background,positive,happiness,curiosity,D-S-E
"The Blacksmith, lobbycard, Buster Keaton , Virginia Fox , 1922","The Blacksmith, lobbycard, Buster Keaton , Virginia Fox , 1922.",negative,sad,romance,S-E-D
Young Native American woman outdoors at sunset,This model is a full blooded member of the Shoshone-Bannock native American tribe. She is a full time student at the University of Idaho.,neutral,neutral,none,S-E-D
Man in quarantine looking through the window,Man in quarantine wearing a mask and looking through the window. Pandemic of Coronavirus / Covid-19.,negative,fear,curiosity,D-S-E
Man in home lockdown at pandemic crisis,"Sad, lonely man in home lockdown at pandemic crisis standing by the window and looking outside. Coronavirus / Covid-19 pandemic.",negative,fear,curiosity,S-E-D
Boy looking up from behind a wall,Boy looking up from behind a wall,negative,fear,curiosity,D-S-E
Boy reading book in backyard,Boy reading book in backyard,positive,happiness,curiosity,D-S-E
Mature couple reading newspapers on a weekend afternoon.,Closeup front view of a mid 60's couple sitting on a couch and reading magazines. They are smiling at the camera.,positive,happiness,romance,D-S-E
Mother and son eating and doing homework at dining table,Mother and son eating and doing homework at dining table,neutral,neutral,family,D-S-E
Happy young woman sitting on couch looking sideways,Happy young woman sitting on couch looking sideways,neutral,neutral,none,S-E-D
Couple bird watching,Couple bird watching,positive,happiness,curiosity,D-S-E
"""Woman screaming, looking at camera, head and shoulders, portrait""","""Woman screaming, looking at camera, head and shoulders, portrait""",negative,fear,none,D-S-E
Angry Snarling Woman,Portrait of a young woman on a white background.,negative,anger,vengeance,S-D-E
COUPLE DANCING AS OTHER PEOPLE WATC,COUPLE DANCING AS OTHER PEOPLE WATCH,negative,sad,romance,D-S-E
Women Cooking Thanksgiving Gravy,Women Cooking Thanksgiving Gravy,neutral,neutral,family,D-S-E
Mother scolds a child for poor schooling and homework at home,Mother scolds a child for poor schooling and homework at home,negative,anger,none,S-E-D
Happy father with adult daughter on the beach,Happy father with adult daughter on the beach,positive,happiness,romance,D-S-E
Portrait of smiling woman against textured wall,Portrait of smiling woman with eyes closed standing against textured wall,positive,happiness,none,E-S-D
Mother and daughter studying with laptop,African American mother is teaching her daughter are using laptop at home together,neutral,neutral,family,D-S-E
Little hikers picking mushrooms in forest,Little hikers picking mushrooms in forest. Kids just found some mushrooms and are examining it to determine if it's edible. The kids aged 7 and 4 are crouching near the mushroom.,positive,happiness,curiosity,D-S-E
Young woman enjoying the car ride at sunset,Young girl is enjoying the car ride on the passenger's seat and looking at the sunset.,positive,happiness,none,S-E-D
Grandmother holding Christmas wreath around smiling grandson,Grandmother holding Christmas wreath around smiling grandson,positive,happiness,family,S-E-D
Smiling woman reading a book at home,Smiling woman resting and reading a book at home.,neutral,neutral,none,S-E-D
Woman sitting in armchair at home relaxing,Woman sitting in armchair at home relaxing,neutral,neutral,none,S-E-D
"Asian overweight woman bored emotion and refuse for eating fresh green vegetables salad on table for good health at home, nutrition, weight loss, lifestyle, healthy food and dieting concept","Asian overweight woman bored emotion and refuse for eating fresh green vegetables salad on table for good health at home, nutrition, weight loss, lifestyle, healthy food and dieting concept",negative,disgust,none,D-S-E
Young man shouting as listening to music,Young man shouting as listening to music,positive,happiness,none,S-E-D
"Girl sitting at table with plate of green peas, sticking out tongue","Girl sitting at table with plate of green peas, sticking out tongue",negative,disgust,none,S-D-E
Father working from home with young children in quarantine isolation Covid-19,"Millennial generation father working from home with small children while in quarantine isolation during the Covid-19 health crisis. Little boy is two, little girl is four. Father has tattoos and a beard. The family cat and dog passing in background.",neutral,neutral,family,D-S-E
Speech therapist teaching a language an autistic child,Photo of Mother helping her son with homework in the kitchen at home. Mature brown hair Mother looking after son doing homework on laptop. Beautiful business woman and her cute little son are drawing and smiling while sitting. Mother helping her son to prepare for written assignment.,neutral,neutral,family,D-S-E
Do it Yourself,Do it Yourself,neutral,neutral,none,S-E-D
Mid adult woman raises hand duirng college class,Confident mid adult college student raises her hand to ask or answer question while attending a college class.,positive,happiness,curiosity,S-E-D
Nervous woman getting her arm tattooed in tattoo studio.,Afraid woman in tattoo studio getting tattoo on her arm.,negative,fear,none,E-S-D
Supportive Father Plays Basketball with Son,Dad has fun teaching his boy basketball skills on a small indoor court. A tender moment of togetherness and connection between parent and child.,neutral,neutral,family,D-S-E
Happy senior woman and caregiver walking outdoors,Happy senior woman and caregiver walking outdoors,positive,happiness,social-contact,S-E-D
"Grandfather playing with grandchildren, sitting on toy car","Grandfather playing with grandchildren, sitting on toy car",positive,happiness,family,D-S-E
African American lady in sheet mask using laptop,African American lady in sheet mask using laptop,neutral,neutral,none,S-E-D
Family New Year's Eve Party.,"Family dancing at the back yard, celebrating New Year together.",positive,happiness,social-contact,D-S-E
Arranging my rooftop garden,Photo of young woman arranging her rooftop garden,neutral,neutral,none,D-S-E
Kids discovering underwater world,"Photo of a two children, discovering underwater world in an aquarium",positive,happiness,curiosity,S-E-D
Young upset boy with his head down,Child sitting at the beach,negative,sad,none,E-S-D
"New Jersey, Jersey City, Woman leaning on table looking on green peas","New Jersey, Jersey City, Woman leaning on table looking on green peas",negative,disgust,none,S-D-E
Young girl walking dog in forest,Young girl walking dog in forest,neutral,neutral,none,S-E-D
Angry baby,Angry baby.,negative,anger,none,S-E-D
Family sitting on bicycle,Son with parents riding bicycle in park.,neutral,neutral,family,D-S-E
Grumpy little boy,Grumpy little boy,negative,sad,none,S-E-D
Binoculars Stock,Man using binoculars curiously,positive,happiness,curiosity,D-S-E
Boy looking through blinds,"Little boy looking through blinds, he is waiting form someone.",negative,fear,curiosity,S-E-D
Young woman lying in bed hiding behind teddy bear,Young woman lying in bed hiding behind teddy bear,negative,fear,none,S-E-D
Surprised young woman isolated on white background,Surprised young Caucasian woman in casual wear looking up. Vertical shot. Isolated on white.,positive,happiness,none,S-E-D
Father teaching son to play baseball,Father teaching son to play baseball,positive,happiness,family,D-S-E
Smiling businesswoman at work,Smiling woman in the office looking at camera,positive,happiness,none,S-E-D
Young smiling couple.,Portrait of Young happy couple. They are looking at camera while leaning on light blue wall.,positive,happiness,romance,D-S-E
Diverse Females Involved in STEM,"Teacher with a group of university students, in a laboratory classroom. The instructor is considering one of the students work, the mood is light hearted and positive. Other classmates are discussing things with each other. This is a realistic teaching scenario, with candid expressions. This is a multi-ethnic group of women. In the background there is a white board with mathematical formula written on it. All ladies are wearing id tags.",neutral,neutral,none,D-S-E
Carefree young couple jumping on parking levelat sunset,Carefree young couple jumping on parking levelat sunset,positive,happiness,romance,D-S-E
Happy mature woman relaxing on the couch at home,Happy mature woman relaxing on the couch at home,positive,happiness,none,S-E-D
Happy friends enjoying at nightclub,Group of happy multi-ethnic friends enjoying on dance floor at nightclub,positive,happiness,social-contact,S-E-D
Cute boy getting scared of young goat while sitting in park,Cute boy getting scared of young goat while sitting in park,negative,fear,tranquility,E-S-D
Angry Office Worker of the Past,"Man and office in 1980's - 1990's style, complete with vintage computer and technology of the time, yells in anger and frustration on the phone to tech support trying to figure out why his computer is broken. Wood paneling on the wall in the background.",negative,anger,none,S-E-D
Jealous teenage girl,Jealous teenage girl,negative,sad,romance,D-S-E
Senior couple enjoy eating ice cream together,Senior couple enjoy eating ice cream together,positive,happiness,romance,D-S-E
Mixed race businesswoman clinging to colleague's hand,Mixed race businesswoman clinging to colleague's hand,negative,fear,tranquility,S-E-D
Portrait of smiling father with son in a park,Portrait of smiling father with son in a park,neutral,neutral,family,D-S-E
Portrait of successful mid adult businessman,Portrait of successful mid adult businessman standing in office. Mid adult business professional looking at camera and smiling.,positive,happiness,none,E-S-D
Women in room,Women in room,negative,sad,none,E-D-S
Portrait of a scared boy 9-11 years,Portrait of a scared boy 9-11 years,negative,fear,none,S-E-D
African American woman typing on laptop,African American woman typing on laptop,neutral,neutral,none,S-E-D
Senior Couple Having Fun in Hotel Room Jumping on a bed,Senior Couple Having Fun in Hotel Room,positive,happiness,romance,D-S-E
Portrait of a smiling senior woman,Portrait of a beautiful smiling senior woman with short hair. She is looking to camera,positive,happiness,none,S-E-D
Family time,Woman reading with toddlers,positive,happiness,family,D-S-E
"Two young women fighting in living room, low angle view","Two young women fighting in living room, low angle view",negative,anger,vengeance,E-S-D
Woman relaxing on sofa with hot drink,Woman relaxing on sofa with hot drink,neutral,neutral,none,D-S-E
Master chef,Angry master chef roasts sausage,negative,anger,vengeance,D-E-S
Afro hipster girl laughing ecstatically while throwing gold glitter,Laughing Afro hipster girl having fun throwing gold glitter from her hands while at tthe beach at sunset,positive,happiness,none,S-E-D
Woman stretching and working at home,Woman stretching and working at home,positive,happiness,none,S-E-D
Boy is disgusted and making faces,Boy is disgusted and making faces,negative,disgust,none,S-E-D
Have a look at that hunny,Shot of a happy young couple using a laptop while relaxing on a couch in their living room at home,positive,happiness,romance,D-S-E
Confident woman smiling.,Confident woman smiling.,positive,happiness,none,S-E-D
Young businessman sitting at hotel bar reading smartphone texts,Young businessman sitting at hotel bar reading smartphone texts,neutral,neutral,none,S-E-D
"Family sitting on steps of home, portrait","Family sitting on steps of home, portrait",positive,happiness,family,S-E-D
Active 97 year-old man.,Senior man peeks through the blinds and out a window.,negative,fear,curiosity,D-S-E
Young girl reading a book,African American girl sitting on the floor and reading a book,positive,happiness,curiosity,D-S-E
Cute baby playing in the sand at the beach,Cute baby playing in the sand at the beach,positive,happiness,curiosity,D-S-E
Portrait Of Sad Young Woman Over White Background,Sad young woman in Germany,negative,sad,none,D-S-E
Playful businessman holding cell phone in front of his eyes,Playful businessman holding cell phone in front of his eyes,positive,happiness,none,S-E-D
Smiling parents surfing the Internet with daughter on touchpad.,Happy parents teaching their little girl how to use digital tablet in the kitchen.,positive,happiness,family,D-S-E
Mother putting her baby to sleep,"Photo of a young mother holding her newborn baby, while putting him to sleep",neutral,neutral,family,D-S-E
Man with smartphone next to tiled mosaic wall.,Man with smartphone next to tiled mosaic wall.,positive,happiness,none,S-E-D
Father and son on a bicycle lane,"Photo of a young boy and his father on a bicycle lane, learning to ride a bike.",neutral,neutral,family,D-S-E
Portrait of a couple in love,Portrait of a couple in love,positive,happiness,romance,D-E-S
Exuberant young woman jumping in a room,Exuberant young woman jumping in a room,positive,happiness,none,S-E-D
Right on time!,Shot of a smiling young woman standing at her front door receiving a package from a courier,positive,happiness,none,S-E-D
Loving Mature Couple Playing At Oregon Coast,"Senior couple explores a beach in Oregon state, enjoying the beauty of sunset on the Pacific Northwest coast. They jump for joy, hands in the air, facing the ocean view.",positive,happiness,romance,D-E-S
Mother and father watching baby girl crawl,Mother and father watching baby girl crawl,neutral,neutral,family,D-S-E
"Can't watch, so scary!","Young woman in the cinema, watching a scary movie, hiding her look with a hand and holding a box with popcorn",negative,fear,curiosity,E-D-S
Happy young woman riding electric scooter on a bridge,Happy young woman riding electric scooter on a bridge,positive,happiness,none,S-E-D
Woman angry and resentful following dispute with husband,Woman angry and resentful following dispute with husband,negative,sad,romance,D-E-S
"Portrait of Angry Young Man Holding Knife, Low Key","Portrait of Angry Young Man Holding Knife, Low Key",negative,anger,vengeance,S-E-D
Mature couple walking together with water bottles,Mature couple walking together with water bottles.,neutral,neutral,none,S-E-D
Head and shoulders portrait,Head and shoulders portrait,positive,happiness,none,S-E-D
Making sure there are no surprises,Full length shot of an attractive young woman using a laptop to study while sitting on her bed,neutral,neutral,none,S-E-D
Senior woman caregiver paperwork signing last will,"Young woman helping senior woman, 91 years old, with paperwork",neutral,neutral,family,S-E-D
"Young woman learning online with laptop and phone, she is taking notes in a notebook","Young woman learning online with laptop and phone, she is taking notes in a notebook",neutral,neutral,none,S-E-D
Retribution,"Mature woman with long hair in a short skirt and long black boots stands with a large knife behind her back, clutched in one hand.",negative,anger,vengeance,D-E-S
Cowboy Lying in Bathtub with Woman Holding Gun Near Him,Cowboy Lying in Bathtub with Woman Holding Gun Near Him,negative,anger,vengeance,E-S-D
Technology-Aided Sleep: Woman in Pyjamas With Wireless Headphones Listening to Relaxing Music on Her Smartphone in Bed in the Morning,Overhead view of a blonde woman with headphones listening to music on her smartphone while sleeping.,neutral,neutral,none,D-S-E
Parents playing with their kids in the garden,Family enjoying the weekend in their home,positive,happiness,family,S-E-D
Depressed little boy sitting on the floor,"Depressed sad child sitting on the floor, in the door. The little boy is hiding his head between legs.",negative,sad,tranquility,S-E-D
Portrait of mother holding sleeping baby in kitchen,Portrait of mother holding sleeping baby in kitchen,neutral,neutral,family,D-S-E
"Woman sitting on couch, wrapped in a blanket, reading book, drinking tea","Woman sitting on couch, wrapped in a blanket, reading book, drinking tea",neutral,neutral,none,D-S-E
Mother halping kids to do homework,Mother is helping her kids in doing homework at home. Tenage girl is writing a paper and her 8 years old brother is also giving some advice.,neutral,neutral,family,D-S-E
Young couple packing groceries,Young couple packing groceries,positive,happiness,none,S-E-D
Mother Applying Bandage to Sons Knee,Mother Applying Bandage to Sons Knee,neutral,neutral,family,S-D-E
Happy girls running to the sea on a beautiful sunset,Happy girls running to the sea on a beautiful sunset,positive,happiness,none,S-E-D
Exuberant young man listening to music in front of pink wall,Exuberant young man listening to music in front of pink wall,positive,happiness,none,S-E-D
Playing his favorite song,Dad playing some music on a guitar to his son.,neutral,neutral,family,D-S-E
Businessman working in a new office,Mid adult business professional sitting at table with laptop and talking on mobile phone. Businessman working in office.,positive,happiness,none,S-E-D
Jealousy.,Young couple in bed. Focus on jealous woman.,negative,sad,romance,D-S-E
Affectionate couple hugging on the beach,Affectionate couple hugging on the beach,neutral,neutral,none,S-E-D
Stylish young man with moblie phone,"Stylish happy young man with moblie phone. Shot in Beijing,China",positive,happiness,none,S-E-D
Friends catching popcorn with the mouth,Tween girls hanging out and eating popcorn together in bohemian style home,positive,happiness,social-contact,S-E-D
When the training wheels come off,Shot of a young man teaching his son how to ride a bike,neutral,neutral,family,D-S-E
"Smiling blond woman using smartphone, blue background","Smiling blond woman using smartphone, blue background",positive,happiness,none,S-E-D
Portrait of an irritated young woman holding wine glass with couple in the background,Portrait of an irritated young woman holding wine glass with couple in the background,negative,sad,romance,D-S-E
Nothing says family-friendly like an outing to the farm,Shot of a mature man carrying his adorable daughter on a cow farm,positive,happiness,family,D-S-E
Young family using laptop at home.,Young family using laptop at home.,neutral,neutral,family,D-S-E
Mom holding her young son on a dock.,Mom holding her young son on a dock.,neutral,neutral,family,D-S-E
Teenager learning to drive,Teenager with driving instructor .,neutral,neutral,family,E-D-S
Basking in the sense of his own importance,Shot of a father playing with his son on the sofa at home,positive,happiness,family,D-S-E
Boy and girl with binoculars on meadow,Boy and girl with binoculars on meadow,positive,happiness,curiosity,S-E-D
Pediatric's Office,Close up of a pediatrician having a check up on his patient,neutral,neutral,family,D-S-E
Father And daughter Sitting On Lounge Sofa Using Laptop Together,Father And daughter Sitting On Lounge Sofa Using Laptop Together,neutral,neutral,family,D-S-E
Unhappy Couple Not Talking After An Argument In Sofa At Home Pe,Unhappy Couple Not Talking After An Argument In Sofa At Home,negative,sad,romance,D-S-E
Happy little girl reads book in school library,Adorable Hispanic schoolgirl smiles while delight as she reads a picture book while standing in the school library.,positive,happiness,curiosity,D-S-E
Multilingual learners,Toddlers busy with educational book,positive,happiness,curiosity,E-S-D
Businessman people discussing in creative office,Mature businessman discussing with young colleagues in creative office,neutral,neutral,none,S-E-D
Happy Middle Aged Active Fit Healthy Beach Couple Hiking Outdoors,"Happy and healthy middle aged active and fit couple hiking outdoors by the seaside at Bondi Beach in Sydney, Australia at sunset",neutral,neutral,none,S-E-D
Portrait of thoughtful senior woman,Portrait of thoughtful senior woman,negative,sad,none,D-S-E
Beautiful woman walking her dog by the river,"One woman, beautiful young woman walking her cocker spaniel dog by the river in city.",neutral,neutral,none,S-E-D
Portrait of young man crying for joy,Portrait of young man crying for joy,positive,happiness,none,S-E-D
"Woman sitting in armchair, children running behind her","Woman sitting in armchair, children running behind her",neutral,neutral,none,S-E-D
Portrait of a young woman relaxing and reading in her Downtown Los Angeles apartment,"Young woman relaxing on the bed in her Downtown Los Angeles apartment, having an easy afternoon, reading a book in a warm and cozy home atmosphere.",neutral,neutral,none,S-E-D
Photo of Asian woman jumping with smile in front of white wall,Photo of Asian woman jumping with smile in front of white wall.,positive,happiness,none,S-E-D
Love never grows old,Cropped shot of a senior couple dancing in the kitchen at home,positive,happiness,romance,D-E-S
Woman lies on the beach reading a book,"Woman lies on her back on the beach. She is holding up a hard cover book. She is lying on a mat with a rolled up beach towel underneath her head. She is also wearing a straw hat. A pair of flip flops, smart phone and another book are beside her. The sandy beach and ocean are blurred in the background.",neutral,neutral,none,S-E-D
"Grandmother, mother, father and a boy having lunch",Multi-generation family eating together,positive,happiness,family,D-S-E
Medicine addiction,Depressed senior man alone sitting on bed edge with dozens of pill container at his feet,negative,sad,tranquility,D-S-E
She's smart about the way she handles business,Shot of a young businesswoman using a cellphone in an office,positive,happiness,none,S-E-D
Portrait of a Fly Fisherman Looking For Sea Trout,"Moody portrait Candid of a fly fisherman waist deep in water casting out his line as he tries to entice a sea trout on to his line. Photographed from the waters edge with a calm sea and a stormy sky. Photographed on the island in Denmark. The fishermen is wearing green waders and a matching jacket, photographed in a modern contemporary style.",neutral,neutral,none,S-E-D
Man grimacing,Man grimacing,negative,disgust,none,D-S-E
"Boy making faces, close-up","Boy making faces, close-up",negative,disgust,none,D-S-E
Hispanic teacher with three boys in library reading book,"Mid adult Hispanic woman in her 30s sitting at a table in the library with three elementary school students, boys 5 and 6 years old. The teacher is holding a book, reading aloud, and they are all looking at her, listening.",positive,happiness,curiosity,D-S-E
Couple at home reading,Couple at home reading and drinking coffee in a cozy loft apartment,neutral,neutral,none,S-E-D
Young woman leaning on sledgehammer beside smashed television,Young woman leaning on sledgehammer beside smashed television,negative,anger,vengeance,E-S-D
Appalled woman,Appalled woman,negative,fear,none,S-E-D
Portrait of peeking boy wearing oversized glasses,Portrait of peeking boy wearing oversized glasses,positive,happiness,curiosity,D-S-E
Woman with a meal,Nauseous woman.,negative,disgust,none,E-S-D
M happy for so many reasons,Cropped shot of a handsome young man chilling at an outdoors coffee shop,positive,happiness,none,S-E-D
Little boy with Down syndrome having fun in the swimming pool with his family,Three years old Little boy with Down syndrome having fun in the swimming pool with his family. Her mother holds him in her arms. Color and horizontal Photo was taken in Quebec Canada.,positive,happiness,family,D-S-E
Covid-19 Alternative Handshakes,"Two colleagues in medical masks avoiding handshake when meeting in the office, greeting with bumping elbows during corona virus COVID-19 epidemic in office, Social distancing concept",positive,happiness,social-contact,S-E-D
Young businesswoman pulls away from unwelcome touch by mature businessman,Young businesswoman pulls away from unwelcome touch by mature businessman,negative,fear,tranquility,S-E-D
"Affectionate young couple in love dancing at home, having fun.",Young woman and man spending time together indoors.,positive,happiness,romance,D-S-E
Happy couple relaxing on chairs at beach,Happy senior couple relaxing on deck chairs at beach,positive,happiness,romance,D-S-E
Online shopping,Young woman shopping online with credit card and lap top at home,positive,happiness,none,S-E-D
Two Senior Men Arguing Over Italian Pasta Dinner,Two hot tempered italian mafia bosses arguing fiercly.,negative,anger,vengeance,D-S-E
Young boy looking angrily at fruits and vegetables.,Young boy looking angrily at fruits and vegetables.,negative,disgust,none,S-D-E
Reading Time,Preschool-age Caucasian boy and two Caucasian girls are lying on the floor. They are indoors at a daycare center. They are wearing casual clothing. They are reading a story book together.,positive,happiness,curiosity,S-E-D
Man helping young woman look over wall.,Man helping young woman look over wall.,positive,happiness,curiosity,S-E-D
Friends dancing indoors,Two friends dancing and having fun in front of a white brick wall.,positive,happiness,social-contact,S-E-D
Ecstatic that I finally finished all my work,Cropped shot of an attractive young woman using a laptop at home,positive,happiness,none,S-E-D
"Blond woman sitting in armschair, looking sad, close up","Blond woman sitting in armschair, looking sad, close up",negative,sad,none,S-E-D
Depressed looking young woman,Depressed looking young woman,negative,sad,tranquility,D-S-E
Feel well rested,Cropped shot of a young woman stretching while sitting in her bed,positive,happiness,none,S-E-D
Street portrait of beautiful young woman,Portrait of a beautiful mixed race woman in the street.,positive,happiness,none,S-E-D
Caucasian athlete walking on dirt path in park,Caucasian athlete walking on dirt path in park,neutral,neutral,none,S-E-D
Young woman sitting on couch at home meditating,Young woman sitting on couch at home meditating,neutral,neutral,none,S-E-D
Senior Black Man Walking his Dog,An African American senior man playing with his dog,neutral,neutral,none,S-E-D
Portrait of a mature female athlete with her surfboard with a confident expression,Portrait of a mature female athlete with her surfboard standing on a beach in Japan,positive,happiness,none,S-E-D
Mature Latino man walking his senior Retriever dog and crossing the street,"Mature Latino man with beard any stylish casual clothing in springtime day in Buenos Aires, Argentina walking his Retriever dog",neutral,neutral,none,S-E-D
She's in a deeply relaxed state of mind,Cropped shot of an attractive young woman lying on her back,neutral,neutral,none,S-E-D
Black woman with disgusted attitude at waterfront,Black woman with disgusted attitude at waterfront,negative,anger,none,S-E-D
Cheerful senior woman during book club,Active senior women enjoy discussing an exciting book during their book club meeting. They are laughing while talking about the book.,positive,happiness,curiosity,S-E-D
Father and Son Exploring Nature,Father and Son Exploring Nature,positive,happiness,family,E-S-D
Body positive woman exercising in nature,Brazilian woman body positive exercising in nature.,neutral,neutral,none,D-S-E
Girl shaking head to music,Teenage girl dancing to the music against red wall,positive,happiness,none,S-E-D
Young woman swimming in the pool,"Photo of young woman in the pool , close up portrait",neutral,neutral,none,S-E-D
Lovely blonde teenage girl rolling her eyes upward.,Lovely blonde teenage girl rolling her eyes upward.,negative,disgust,none,E-S-D
Yes! Yes! Yes!,Shot of a young businessman cheering enthusiastically in a modern office,positive,happiness,none,S-E-D
Fear in the Office,Fear in the Office,negative,fear,curiosity,S-E-D
He is a summer child,Portrait of a cheerful little boy smiling at the camera outside during the day,positive,happiness,none,S-E-D
Mother and daughter using digital tablet,Mother and daughter using digital tablet,neutral,neutral,family,D-S-E
Little Girl Playing with Soap Bubbles,Little Girl Playing with Soap Bubbles,positive,happiness,curiosity,D-S-E
Women take the leading role in business,Multi-ethnic group of business persons talking in the office,positive,happiness,social-contact,S-E-D
Toddler boy enjoys playing with toys in waiting room,An adorable toddler boy sits at a table in a doctor's waiting room and reaches up cheerfully to play with a toy bead maze.,positive,happiness,none,S-E-D
Senior man with hands clasped in house,Portrait of happy senior man with hands clasped standing in house,positive,happiness,none,S-E-D
Portrait of woman against blue wall,Portrait of woman against blue wall,neutral,neutral,none,S-E-D
Melancholic middle-aged man,Melancholic middle-aged man,negative,sad,none,D-S-E
Hispanic mother and daughter playing in living room,Hispanic mother and daughter playing in living room,positive,happiness,family,D-S-E
Smiling senior woman walking with pet dog in park,Happy mature female dog walker walking pet dog in countryside park in autumn,neutral,neutral,none,S-E-D
Two exuberant young women sharing a bicycle in rural landscape,Two exuberant young women sharing a bicycle in rural landscape,positive,happiness,social-contact,D-S-E
Lifestyle woman with a french bulldog relaxing in living room.,"Lifestyles in Barcelona, one woman at home. Spanish model.",neutral,neutral,none,S-E-D
Depressed woman with head in hands,Depressed woman with head in hands,negative,sad,none,S-E-D
Overhead Waist Up Shot of a Pretty Blonde Woman in Blue Pyjamas Sleeping on a King Size Bed,Beautiful happy Caucasian woman in blue pyjamas sleeping on a king-size bed.,neutral,neutral,none,S-D-E
Years old boy reading a book with his mom,Years old boy reading a book with his mom,neutral,neutral,family,D-S-E
Cowboy aiming rifle from window,Cowboy aiming rifle from window,negative,anger,vengeance,E-S-D
Portrait of screaming young woman,Portrait of screaming young woman,negative,anger,none,S-D-E
Happy senior couple talking while walking on a hill in autumn day.,Happy mature couple communicating while holding hands and walking up the hill in autumn day.,positive,happiness,romance,D-E-S
Little boy and soap bubbles,Little blonde boy playing with soap bubbles in a park.,positive,happiness,none,S-E-D
Man scared because of a fear of flying,Scared businessman on commercial flight,negative,fear,tranquility,S-E-D
Selfie of woman doing angry face,Selfie of woman doing angry face,negative,anger,none,D-S-E
Wistful Senior Man Staring Through Hazy Window,"Hearing impaired elderly senior adult man wearing a hearing aid is sitting staring through the hazy, speckled, unwashed window and grungy mesh screen of a living room window at home. He has early stage dementia and will sit motionless for minutes at a time gazing engrossed at the outside world.",negative,sad,none,S-E-D
"Model Magda Laguinge and son Cruz wear Thom Browne at the Thom Browne show during Paris Fashion Week Spring/Summer 2020 on September 29, 2019 in Paris, France...","Model Magda Laguinge and son Cruz wear Thom Browne at the Thom Browne show during Paris Fashion Week Spring/Summer 2020 on September 29, 2019 in Paris, France.",neutral,neutral,family,D-S-E
Affectionate couple in woods,Affectionate couple in woods,positive,happiness,romance,D-E-S
"Black couple running together in park, laughing","Black couple outdoors in a city park, exercising together. They are carrying handweights, power walking, jogging or running on a sunny day to stay in shape. They are talking and laughing.",neutral,neutral,none,S-D-E
Euro Nymphing Fisherman,"An Asian/Japanese Euro Nymphing Fisherman on the Truckee River, Nevada.",neutral,neutral,none,S-E-D
Smiling businesswoman leaning against whiteboard and drinking coffee,Smiling businesswoman leaning against whiteboard and drinking coffee,neutral,neutral,none,S-E-D
Sad mid adult man thinking at home.,"Indoor close-up image of disturbed, sad, Asian, Indian mid adult man with strong character and facial hair. He is sitting at home near door in day time. He is crying and a drop of tear coming out of his eye. He is looking down and holding his head while thinking something deeply with blank expression.",negative,sad,none,S-E-D
Young man lying on grass wearing headphones,"Happy young Chinese man enjoying music, lying with hands behind head on grass, happiness, contemplation, escapism",neutral,neutral,none,D-S-E
Male Portrait,Portrait of a man on a white background.,negative,disgust,none,S-E-D
Collecting garbage in nature,One mature adult man collecting garbage in the forest. He wear rubber cleaning gloves and collecting a protective face mask from the ground and throwing up it in a plastic black garbage bag. Disgust can be seen on his face,negative,disgust,none,D-S-E
Man reclining in canoe on lake,Man reclining in canoe on lake,neutral,neutral,none,S-E-D
Senior Black Man in the woods,Senior black man with headphones during a workout,neutral,neutral,none,S-E-D
Dark shadows,"Old woman fearfully looking, dark shadows waiting for her",negative,fear,none,S-E-D
Cute couple and the other girl,Cute couple and another girl posing. They are hitting their glasses and the jealous girl is looking at them.,negative,sad,romance,D-S-E
Friends cooking together,Friends cooking together,positive,happiness,social-contact,S-E-D
